わたし,I
サービス,service
ジョギング,jogging
シャワー,shower
みどり,green
てら,temple
じんじゃ,shrine
りゅうがくせい,foreign student
おひきだし,withdrawal
キャッシュカード,cash card
あんしょうばんごう,PIN
きんがく,amount of money
かくにん,confirmation
ボタン,button
ベトナム,Vietnam
アジア,Asia
もんだい,problem/question
こたえ,answer
きんえん,no smoking
ほけんしょう,insurance card
かぜ,cold
ねつ,fever
びょうき,illness
くすり,medicine
ふろ,bath
うわぎ,jacket
したぎ,underwear
のど,throat
ピアノ,piano
メートル,meter
げんきん,cash
しゅみ,hobby
にっき,diary
いのり,prayer
しゃちょう,company president
ぶちょう,department chief
かちょう,section chief
どうぶつ,animal
うま,horse
へび,snake
ちょうし,condition
ゴルフ,golf
すもう,sumo
パチンコ,pachinko
ひ,day
ケーキ,cake
サラリーマン,office worker
ことば,word
ぶっか,prices
きもの,kimono
ビザ,visa
はじめ,beginning
おわり,end
おなじ,the same
しゅしょう,prime minister
だいとうりょう,president
せいじ,politics
ニュース,news
スピーチ,speech
しあい,game/match
アルバイト,part-time job
いけん,opinion
はなし,story/talk
ユーモア,humor
デザイン,design
こうつう,traffic
ラッシュ,rush hour
コート,coat
スーツ,suit
セーター,sweater
めがね,glasses
ぼうし,hat
やちん,rent
わしつ,Japanese room
おしいれ,Japanese closet
ふとん,futon
アパート,apartment
でんきや,electrician
サイズ,size
おと,sound
きかい,machine
つまみ,knob
こしょう,malfunction
みち,road
こうさてん,intersection
しんごう,traffic light
かど,corner
はし,bridge
しょうがつ,New Year
ちゅうしゃじょう,parking lot
たてもの,building
がいこくじんとうろくしょう,alien registration card
おじいさん,grandfather
ろうじん,old man
おばあさん,grandmother
おばあさん,old woman
じゅんび,preparation
いみ,meaning
かし,sweets
ぜんぶ,all
べんとう,box lunch
ははのひ,Mother's Day
いなか,countryside
たいしかん,embassy
グループ,group
チャンス,chance
おく,hundred million
てんきん,transfer
こと,matter/thing
ぼく,I (male)
きみ,you (informal)
くん,Mr. (informal)
こっち,this way (informal)
そっち,that way (informal)
あっち,that way over there (informal)
はらいます,pay
もっていきます,take (something)
ぬぎます,take off
なくします,lose
だします,hand in
かえします,return
のみます,take (medicine)
はいります,take a bath
おぼえます,memorize
でかけます,go out
わすれます,forget
もってきます,bring
しんぱいします,worry
ざんぎょうします,work overtime
しゅっちょうします,go on business trip
あらいます,wash
うたいます,sing
ひきます,play (instrument)
かえます,exchange
すてます,throw away
あつめます,collect
うんてんします,drive
よやくします,reserve
けんがくします,visit for study
のぼります,climb
とまります,stay
なります,become
そうじします,clean
せんたくします,do laundry
れんしゅうします,practice
おもいます,think
いいます,say
かちます,win
やくにたつ,be useful
さいきんのはなし,have a festival
まけます,lose
たります,be enough
はきます,put on (shoes)
かぶります,put on (hat)
きます,put on (shirt)
かけます,put on (glasses)
うまれます,be born
ききます,ask
ひきます,pull
うごきます,move
あるきます,walk
まわします,turn
さわります,touch
わたります,cross
かえます,change
きをつけます,pay attention
おつりがでます,get change
ひっこしします,move house
つれていきます,take (someone)
おくります,escort
くれます,give me
いれます,make (coffee)
つれてきます,bring (someone)
しょうかいします,introduce
あんないします,show around
せつめいします,explain
つきます,arrive
とります,grow old
かんがえます,think
りゅうがくします,study abroad
がんばります,do one's best
あぶない,dangerous
いたい,painful
ねむい,sleepy
つよい,strong
よわい,weak
すごい,amazing
たいせつな,important
だいじょうぶ,all right
むりな,impossible
ふべんな,inconvenient
むだな,wasteful
までに,by (time)
いちど,once
いちども,never
だんだん,gradually
もうすぐ,soon
なんかいも,many times
さいきん,recently
たぶん,probably
きっと,surely
ほんとうに,really
じぶんで,by oneself
ですから,therefore
しかし,but
けど,but (informal)
ほかに,besides
どうしましたか,what's the matter
おだいじに,take care
なかなか,not easily
ほんとう,really
ぜひ,by all means
ちょうしがよい,in good condition
ちょうしがわるい,in bad condition
からだによい,good for health
おかげさまで,thank you
かんぱい,cheers
じつは,actually
うん,yes (informal)
ううん,no (informal)
について,about/concerning
ごちそうさまでした,thanks for the meal
おせわになりました,thank you for everything
どうぞおげんきで,best of luck
